2022-04-24 03:39:18,552 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: www
2022-04-24 03:39:19,695 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:40:15,339 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1344, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60615), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650760759.8787234, 'user': {'account_name': 'www', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwful9SfVyJ2f4a6uMb0+\nLVtnam179WWMdoUXuCuQ3A4Hmts2+UfJ2dAzzpdJOpblhPpRr/ODkncf4kOr8QmQ\nNZl7ArOPOPEv/4jEkZPe+l3/77kQnYxL5+EKiAT007viJph3CRmGnltl2UPgZuZQ\nSHpDd95Sa2BTJSHQTU1SYD/AIOHATxsZqsKz9GMNKs+torrFdksbk+DaplQxPZm/\npK3OvsjjTbpcGT/XaCND1+20HmXiBXnF0mnGd7+FmXiSLgP0CecZVHHdPcqjsV2D\nPHSnwVI5XLI2W/u908LqG+cRkhplAdpnED7KMNUX8jgwvpca7MCUHh/gRk67dvhl\n4wIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:45:19,807 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:45:38,756 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: qqq
2022-04-24 03:45:38,906 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:45:49,759 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60679), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650761138.9683943, 'user': {'account_name': 'qqq', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA/nS6jRZLBKSzpTH6FvMr\nxSpr6t/ynqt6WOQ0aZ74oEt27sxKTqf2X2kBplJ9otruXn2buGNuFanGB9z3dNHK\nhtLidyB62QifCcH+EU5eOV5sM4KGypzVSW6WuMXPYvAgStV9KesshUlMioeoUEQ+\nF/eWQpflPv4G+zNhdKqfyRBDXOtfgkHV/RPZJfgn72szf25M7KgpdXeHpCSqGtoN\nTMRbJmLSev+6BSnNfpb7n0bA5ImrCqKfV4RM2cJYQl9xV8WoS+VSeLax6N5rc7+h\nx72IgO59LotMSznZiTSNz7Uh1+mc1R2iPugbI+4KGpB8PdH3OCGeSp0eC/7Vr9rR\nowIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:46:33,600 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:46:39,116 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: www
2022-04-24 03:46:39,195 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:46:39,234 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=1160, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60690), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650761199.2345088, 'user': {'account_name': 'www', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwful9SfVyJ2f4a6uMb0+\nLVtnam179WWMdoUXuCuQ3A4Hmts2+UfJ2dAzzpdJOpblhPpRr/ODkncf4kOr8QmQ\nNZl7ArOPOPEv/4jEkZPe+l3/77kQnYxL5+EKiAT007viJph3CRmGnltl2UPgZuZQ\nSHpDd95Sa2BTJSHQTU1SYD/AIOHATxsZqsKz9GMNKs+torrFdksbk+DaplQxPZm/\npK3OvsjjTbpcGT/XaCND1+20HmXiBXnF0mnGd7+FmXiSLgP0CecZVHHdPcqjsV2D\nPHSnwVI5XLI2W/u908LqG+cRkhplAdpnED7KMNUX8jgwvpca7MCUHh/gRk67dvhl\n4wIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:47:19,197 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:47:25,000 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: www
2022-04-24 03:47:25,079 DEBUG    client.py Keys successfully loaded.
2022-04-24 03:47:25,118 DEBUG    log_decor.py функция send_message с аргументами (<socket.socket fd=824, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60696), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1650761245.1189294, 'user': {'account_name': 'www', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAwful9SfVyJ2f4a6uMb0+\nLVtnam179WWMdoUXuCuQ3A4Hmts2+UfJ2dAzzpdJOpblhPpRr/ODkncf4kOr8QmQ\nNZl7ArOPOPEv/4jEkZPe+l3/77kQnYxL5+EKiAT007viJph3CRmGnltl2UPgZuZQ\nSHpDd95Sa2BTJSHQTU1SYD/AIOHATxsZqsKz9GMNKs+torrFdksbk+DaplQxPZm/\npK3OvsjjTbpcGT/XaCND1+20HmXiBXnF0mnGd7+FmXiSLgP0CecZVHHdPcqjsV2D\nPHSnwVI5XLI2W/u908LqG+cRkhplAdpnED7KMNUX8jgwvpca7MCUHh/gRk67dvhl\n4wIDAQAB\n-----END PUBLIC KEY-----'}}), {} вызвана из функции common.utils
2022-04-24 03:50:07,027 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:51:01,394 DEBUG    log_decor.py функция arg_parser с аргументами (), {} вызвана из функции __main__
2022-04-24 03:51:04,435 INFO     client.py Запущен клиент с парамертами: адрес сервера: localhost , порт: 7777, имя пользователя: www
2022-04-24 03:51:04,600 DEBUG    client.py Keys successfully loaded.
